danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,number_of_artists,explicit,name,url,genres,filtered_genres,top_genre,emotion
0.638,0.781,-6.848,0.0285,0.0118,0.00953,0.349,0.25,122.985,194640.0,34.0,3.0,False,Fantasy - Felix Jaehn Remix,https://open.spotify.com/track/7KCWmFdw0TzoJbKtqRRzJO,"['tropical house', 'german dance', 'pop dance', 'edm', 'vapor twitch', 'etherpop']",['edm'],edm,happy
0.744,0.816,-3.933,0.0372,0.144,8.51e-06,0.0902,0.748,120.062,144000.0,52.0,3.0,False,Turning Me Up (Hadal Ahbek),https://open.spotify.com/track/4sofJiicQwKsRo3S1vpt39,"['pop dance', 'edm', 'indonesian viral pop', 'canadian hip hop']",['edm'],edm,happy
0.721,0.768,-4.371,0.0685,0.21,0.00843,0.262,0.468,124.076,179032.0,45.0,3.0,True,Problems,https://open.spotify.com/track/2dyrLrVopYKGc3H9oOYSmZ,"['progressive electro house', 'progressive house', 'future house', 'chill house', 'pop edm', 'singer-songwriter pop', 'electro house', 'pop dance', 'dutch house', 'edm']",['edm'],edm,energetic
0.7,0.782,-4.631,0.0542,0.449,0.0,0.143,0.68,124.969,169901.0,46.0,3.0,False,Closer (feat. Lilly Ahlberg),https://open.spotify.com/track/5FDdviWQzhw7NWH2TiDl9d,"['uk dance', 'tech house', 'pop dance', 'scandipop', 'house']",['house'],house,happy
0.764,0.587,-7.002,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,229573.0,45.0,2.0,False,Everything's Gonna Be Alright,https://open.spotify.com/track/2NEBP8SXEqwZt2PRdPXXuy,"['country road', 'country', 'contemporary country']",['country'],country,happy
0.545,0.818,-6.38,0.0541,0.0369,0.0,0.101,0.679,109.019,225066.0,67.0,1.0,False,Make Me Wanna,https://open.spotify.com/track/69DR48pXzSabFUfQfDDJDb,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.611,0.782,-4.989,0.0474,0.147,0.0,0.115,0.915,101.319,188053.0,0.0,1.0,False,Castaway,https://open.spotify.com/track/5PNcJn4oFNvlRfrZBHfqWh,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.557,0.737,-5.75,0.0476,0.0142,0.0,0.314,0.817,158.05,204186.0,60.0,1.0,False,Where It's At,https://open.spotify.com/track/4whYDpJ5XVQpmvecbEHP5Q,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.711,0.696,-5.05,0.0869,0.16,0.0,0.17,0.694,80.512,189533.0,63.0,1.0,False,Good Girl,https://open.spotify.com/track/3NgcaTIgVh77DdwAInp996,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.476,0.952,-3.783,0.041,0.0981,2.91e-06,0.438,0.849,170.062,184706.0,64.0,1.0,False,Sun Daze,https://open.spotify.com/track/0El2Zyt68nYySFDG87hZgM,"['country', 'country pop', 'contemporary country', 'country road', 'modern country rock']",['country'],country,energetic
0.667,0.886,-5.12,0.0387,0.0265,0.0,0.0759,0.948,146.076,182946.0,47.0,1.0,False,Gonna,https://open.spotify.com/track/57gS5wJqIH6sbtBIIiioNY,"['country road', 'classic oklahoma country', 'country', 'contemporary country']",['country'],country,happy
0.617,0.411,-12.075,0.0373,0.675,1.04e-06,0.0886,0.738,203.934,251960.0,63.0,2.0,False,Islands In the Stream,https://open.spotify.com/track/6dnco8haegnJYtylV26cBq,"['country dawn', 'country', 'classic country pop', 'nashville sound']",['country'],country,happy
0.646,0.781,-4.616,0.0313,0.208,0.0,0.125,0.565,94.975,169920.0,65.0,1.0,False,All To Myself,https://open.spotify.com/track/08tq1XcHwVt5PHXUo87i0D,"['country road', 'country', 'contemporary country']",['country'],country,happy
0.66,0.875,-5.792,0.0488,0.034,0.0,0.233,0.767,92.006,201466.0,42.0,1.0,False,Beer Can in a Truck Bed,https://open.spotify.com/track/1mffZcVGwEqf9Xbdww0kCD,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.644,0.89,-6.993,0.0332,0.0246,2.57e-05,0.103,0.619,112.027,214386.0,61.0,1.0,False,21 Summer,https://open.spotify.com/track/483beWfErq5MZAvC0fJ7cr,"['country', 'modern southern rock', 'contemporary country', 'country road', 'modern country rock']",['country'],country,happy
0.825,0.387,-10.36,0.0364,0.756,0.000171,0.0866,0.794,126.067,204906.0,52.0,2.0,False,Coconut Tree (with Willie Nelson),https://open.spotify.com/track/3UJZ4VcHfSWyrMky8vobzv,"['country', 'nashville sound', 'contemporary country', 'country road', 'classic texas country', 'country rock', 'outlaw country', 'singer-songwriter', 'classic country pop']",['country'],country,sad
0.544,0.572,-6.205,0.0319,0.118,0.0,0.234,0.52,169.885,196253.0,67.0,1.0,False,You,https://open.spotify.com/track/2xPV95cfbyusygMTxpa3SW,"['country road', 'country', 'contemporary country']",['country'],country,sad
0.627,0.926,-2.134,0.0479,0.103,0.0,0.29,0.713,109.992,180960.0,,2.0,False,Beer With My Friends,https://open.spotify.com/track/5nWsaKPbHG8UpBqkaBJGrE,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,energetic
0.673,0.818,-6.182,0.0354,0.0249,0.0,0.292,0.638,125.753,235706.0,41.0,1.0,False,Young,https://open.spotify.com/track/6vikZR6OvVmDSSgfiQVQgm,"['country road', 'country', 'contemporary country']",['country'],country,happy
0.45,0.948,-3.347,0.0464,0.000513,0.0,0.387,0.848,163.953,224853.0,38.0,1.0,False,Tip It Back,https://open.spotify.com/track/1BkeuMWQzM8QNDrAqkmGBM,"['country', 'country pop', 'contemporary country', 'country road', 'modern country rock']",['country'],country,energetic
0.59,0.94,-4.124,0.0409,0.0477,0.0,0.379,0.732,94.02,235506.0,51.0,1.0,False,Raised On It,https://open.spotify.com/track/3BuPop8SzLG2Q88TJcFAjp,"['country', 'country pop', 'contemporary country']",['country'],country,happy
0.709,0.654,-7.753,0.0267,0.106,0.0,0.277,0.488,119.989,207586.0,57.0,1.0,False,Roll With It,https://open.spotify.com/track/7bNX2Fgb4MjPrYbkHaCNwV,"['country road', 'country', 'contemporary country']",['country'],country,happy
0.474,0.742,-5.019,0.0294,0.285,0.0,0.143,0.508,145.968,209013.0,46.0,1.0,False,Lipstick,https://open.spotify.com/track/0MdMNWw0rpBjQJ4SwQ0qbg,"['country road', 'country', 'contemporary country']",['country'],country,sad
0.738,0.868,-4.15,0.0348,0.0371,0.0,0.294,0.199,130.003,252933.0,53.0,2.0,False,Sugar (feat. Wynter),https://open.spotify.com/track/4shgvM4ClrZeDiflNJwlGd,"['pop rap', 'miami hip hop', 'pop', 'dance pop']",['pop'],pop,happy
0.719,0.616,-3.951,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,200880.0,57.0,2.0,False,Who Dat Girl (feat. Akon),https://open.spotify.com/track/7z73ehYAn9O1XP9XlCqVtd,"['pop rap', 'miami hip hop', 'pop', 'dance pop']",['pop'],pop,happy
0.592,0.432,-10.356,0.0421,0.328,6.11e-06,0.0646,0.835,82.547,265629.0,0.0,1.0,False,The Joker,https://open.spotify.com/track/5Sf7xPHiezqlvGKyFcOuaA,"['album rock', 'classic rock', 'mellow gold', 'hard rock', 'heartland rock', 'singer-songwriter', 'rock', 'soft rock']",['rock'],rock,happy
0.758,0.655,-11.661,0.0292,0.0379,0.0,0.0795,0.767,127.141,198440.0,59.0,1.0,False,Party Crowd,https://open.spotify.com/track/57IEs29xqMQaAkjQ8iQuI0,"['country road', 'country', 'contemporary country']",['country'],country,happy
0.726,0.565,-10.355,0.033,0.21,0.0,0.0941,0.849,149.004,185373.0,58.0,1.0,False,Chasin' That Neon Rainbow,https://open.spotify.com/track/6QP8JgHuOi0itWXuZ6wdTM,['country'],['country'],country,happy
0.577,0.384,-11.897,0.0436,0.314,0.0,0.0809,0.102,139.609,217714.0,49.0,1.0,False,I Got So High That I Saw Jesus,https://open.spotify.com/track/3zQikNPCgTVnQLmj5RPn1k,"['alt z', 'pop']",['pop'],pop,sad
0.607,0.74,-5.309,0.0418,0.0812,0.0,0.117,0.272,92.961,231266.0,0.0,1.0,False,Remedy,https://open.spotify.com/track/7xvBjSznydntipiNDKOh32,"['country road', 'modern country rock', 'country', 'contemporary country']",['country'],country,happy
0.73,0.68,-4.886,0.0344,0.324,3.79e-06,0.121,0.452,109.573,221560.0,51.0,1.0,False,Forgive You,https://open.spotify.com/track/1sfTdlWfcFdI7NfmcfZPii,"['neo soul', 'modern blues', 'soul']",['soul'],soul,happy
0.874,0.712,-5.667,0.0315,0.0283,0.0887,0.0824,0.585,106.021,216635.0,45.0,3.0,True,Drop That Kitty (feat. Charli XCX & Tinashe),https://open.spotify.com/track/0Bi1amRigSOIzLc21hOH6p,"['candy pop', 'urban contemporary', 'dance pop', 'art pop', 'uk pop', 'southern hip hop', 'r&b', 'trap', 'pop', 'alternative r&b', 'post-teen pop', 'pop rap', 'metropopolis', 'trap soul', 'hip hop']",['pop'],pop,happy
0.623,0.947,-3.347,0.25,0.00598,0.788,0.279,0.457,164.029,214137.0,40.0,2.0,False,Keep It 100,https://open.spotify.com/track/28r8mD037GEBPG5a65YdDQ,"['edm', 'livetronica', 'bass trap', 'electro house', 'electronic trap', 'brostep']",['edm'],edm,happy
0.814,0.743,-2.968,0.159,0.152,0.0,0.163,0.367,107.996,214586.0,61.0,2.0,True,Danger (with Migos & Marshmello),https://open.spotify.com/track/0nhVrTiCGiGRCoZOJiWzm1,"['progressive electro house', 'edm', 'atl hip hop', 'pop', 'trap', 'pop rap', 'rap', 'brostep', 'hip hop']","['edm', 'pop']",pop,happy
0.931,0.387,-9.127,0.412,0.088,0.0,0.136,0.376,125.978,179404.0,0.0,3.0,True,FEFE,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,"['canadian trap', 'emo rap', 'queens hip hop', 'pop', 'hip pop', 'rap', 'canadian hip hop']",['pop'],pop,happy
0.709,0.638,-4.3,0.0405,0.0649,0.0,0.0969,0.468,141.994,244133.0,0.0,3.0,True,New Flame,https://open.spotify.com/track/3nw9J97nUugT84SIJdjhAV,"['urban contemporary', 'dance pop', 'atl hip hop', 'contemporary r&b', 'pop', 'r&b', 'southern hip hop', 'trap', 'dirty south rap', 'south carolina hip hop', 'gangster rap', 'pop rap', 'rap', 'hip hop']",['pop'],pop,happy
0.589,0.658,-5.288,0.203,0.0242,0.0,0.118,0.251,77.521,223973.0,69.0,3.0,True,All Eyes on You (feat. Chris Brown & Nicki Minaj),https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr,"['queens hip hop', 'southern hip hop', 'trap', 'r&b', 'hip pop', 'pop', 'pop rap', 'rap', 'philly rap', 'hip hop']",['pop'],pop,happy
0.722,0.565,-5.848,0.0335,0.435,0.0,0.165,0.488,104.483,185657.0,72.0,1.0,False,Grace,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR,"['uk pop', 'pop']",['pop'],pop,happy
0.682,0.694,-5.866,0.0391,0.232,1.5e-05,0.0736,0.237,101.983,186569.0,0.0,1.0,False,Bad Girl,https://open.spotify.com/track/3n1HsYVwX6qMvihf5uZDKs,['pop'],['pop'],pop,happy
0.363,0.735,-3.857,0.0428,0.0014,0.000119,0.13,0.0721,145.556,295890.0,51.0,3.0,False,Gold (Stupid Love),https://open.spotify.com/track/5ZzjNL4J31lqU853Un7T3f,"['edm', 'melodic dubstep', 'pop dance', 'canadian electronic', 'brostep']",['edm'],edm,energetic
0.687,0.588,-8.861,0.0374,0.00104,0.00244,0.124,0.407,114.874,159788.0,55.0,2.0,False,Memory Bank,https://open.spotify.com/track/43aktSsHN3Pgu0dzw3BS5W,"['dutch edm', 'progressive electro house', 'progressive house', 'pop edm', 'pop dance', 'electro house', 'dutch house', 'canadian electronic', 'edm']",['edm'],edm,happy
